시군구명,위도,경도,안전센터명,관할소방서명
종로구,37.57882,126.9816,현장대응단,종로소방서
종로구,37.57078971,126.9653292,현장대응단,종로소방서
종로구,37.5696253,126.9654055,현장대응단,종로소방서
종로구,37.56926312,126.9648231,현장대응단,종로소방서
종로구,37.56865155,126.964511,현장대응단,종로소방서
종로구,37.56950629,126.9664103,현장대응단,종로소방서
종로구,37.56927357,126.9667999,현장대응단,종로소방서
종로구,37.56805,126.96535,현장대응단,종로소방서
종로구,37.56692884,126.9667608,현장대응단,종로소방서
종로구,37.5686507,126.9670985,현장대응단,종로소방서
종로구,37.56755,126.96588,현장대응단,종로소방서
종로구,37.57548,126.98221,현장대응단,종로소방서
종로구,37.57332,126.98127,현장대응단,종로소방서
종로구,37.57561,126.98158,현장대응단,종로소방서
종로구,37.57361775,126.982301,현장대응단,종로소방서
종로구,37.5734,126.9825,현장대응단,종로소방서
종로구,37.5732,126.98111,현장대응단,종로소방서
종로구,37.57443,126.98044,현장대응단,종로소방서
종로구,37.57515,126.98122,현장대응단,종로소방서
종로구,37.56945,126.98397,현장대응단,종로소방서
종로구,37.57487,126.98009,현장대응단,종로소방서
종로구,37.57479,126.98001,현장대응단,종로소방서
종로구,37.57442,126.97986,현장대응단,종로소방서
종로구,37.57437,126.97865,현장대응단,종로소방서
종로구,37.57306,126.97903,현장대응단,종로소방서
종로구,37.57023412,126.9754802,현장대응단,종로소방서
종로구,37.5702882,126.9740601,현장대응단,종로소방서
종로구,37.57029405,126.9734693,현장대응단,종로소방서
종로구,37.57003642,126.9729857,현장대응단,종로소방서
종로구,37.57155839,126.972689,현장대응단,종로소방서
종로구,37.570537,126.972591,현장대응단,종로소방서
종로구,37.569326,126.972509,현장대응단,종로소방서
종로구,37.57006679,126.9744188,현장대응단,종로소방서
종로구,37.57002008,126.9745971,현장대응단,종로소방서
종로구,37.56996641,126.9755243,현장대응단,종로소방서
종로구,37.5694708,126.9756223,현장대응단,종로소방서
종로구,37.56678826,126.9672981,현장대응단,종로소방서
종로구,37.57280696,126.9653395,현장대응단,종로소방서
종로구,37.57259028,126.9650426,현장대응단,종로소방서
종로구,37.572817,126.969676,현장대응단,종로소방서
종로구,37.57259218,126.9690111,현장대응단,종로소방서
종로구,37.572388,126.97034,현장대응단,종로소방서
종로구,37.571895,126.970143,현장대응단,종로소방서
종로구,37.571654,126.970511,현장대응단,종로소방서
종로구,37.569901,126.971778,현장대응단,종로소방서
종로구,37.573433,126.968556,현장대응단,종로소방서
종로구,37.57053,126.97197,현장대응단,종로소방서
종로구,37.57123,126.97108,현장대응단,종로소방서
종로구,37.571628,126.97142,현장대응단,종로소방서
종로구,37.572302,126.968819,현장대응단,종로소방서
종로구,37.572927,126.969389,현장대응단,종로소방서
종로구,37.570128,126.971669,현장대응단,종로소방서
종로구,37.569121,126.970201,현장대응단,종로소방서
종로구,37.57031457,126.9748314,현장대응단,종로소방서
종로구,37.568943,126.969944,현장대응단,종로소방서
종로구,37.569218,126.970676,현장대응단,종로소방서
종로구,37.568981,126.970347,현장대응단,종로소방서
종로구,37.57129,126.97184,현장대응단,종로소방서
종로구,37.57006694,126.9725148,현장대응단,종로소방서
종로구,37.57836,126.983335,현장대응단,종로소방서
종로구,37.57748872,126.9826305,현장대응단,종로소방서
종로구,37.5779,126.98368,현장대응단,종로소방서
종로구,37.57686456,126.9841074,현장대응단,종로소방서
종로구,37.57732602,126.9845376,현장대응단,종로소방서
종로구,37.57695,126.98511,현장대응단,종로소방서
종로구,37.57653,126.98532,현장대응단,종로소방서
종로구,37.57633,126.98482,현장대응단,종로소방서
종로구,37.57697,126.98405,현장대응단,종로소방서
종로구,37.57601,126.983,현장대응단,종로소방서
종로구,37.57672,126.98268,현장대응단,종로소방서
종로구,37.57603,126.98414,현장대응단,종로소방서
종로구,37.57746124,126.9833202,현장대응단,종로소방서
종로구,37.57727,126.98252,현장대응단,종로소방서
종로구,37.572637,126.986532,현장대응단,종로소방서
종로구,37.572541,126.987389,현장대응단,종로소방서
종로구,37.572176,126.986672,현장대응단,종로소방서
종로구,37.58296,126.98228,현장대응단,종로소방서
종로구,37.570863,126.978459,현장대응단,종로소방서
종로구,37.57113636,126.9867984,현장대응단,종로소방서
종로구,37.571929,126.986835,현장대응단,종로소방서
종로구,37.58371707,126.9802687,현장대응단,종로소방서
종로구,37.572666,126.3985536,현장대응단,종로소방서
종로구,37.572366,126.98438,현장대응단,종로소방서
종로구,37.571538,126.984587,현장대응단,종로소방서
종로구,37.57146836,126.9858494,현장대응단,종로소방서
종로구,37.573227,126.986988,현장대응단,종로소방서
종로구,37.5763,126.97404,현장대응단,종로소방서
종로구,37.57618,126.97393,현장대응단,종로소방서
종로구,37.57605,126.97354,현장대응단,종로소방서
종로구,37.57476042,126.9744015,현장대응단,종로소방서
종로구,37.57531,126.973,현장대응단,종로소방서
종로구,37.57524,126.97388,현장대응단,종로소방서
종로구,37.57615,126.97284,현장대응단,종로소방서
종로구,37.57505015,126.9730145,현장대응단,종로소방서
종로구,37.5746332,126.9731102,현장대응단,종로소방서
종로구,37.57415042,126.9741805,현장대응단,종로소방서
종로구,37.57419054,126.9735204,현장대응단,종로소방서
종로구,37.570249,126.978381,현장대응단,종로소방서
종로구,37.570262,126.978933,현장대응단,종로소방서
종로구,37.570287,126.97979,현장대응단,종로소방서
종로구,37.570235,126.980593,현장대응단,종로소방서
종로구,37.57024,126.981559,현장대응단,종로소방서
종로구,37.570238,126.984111,현장대응단,종로소방서
종로구,37.570246,126.984546,현장대응단,종로소방서
종로구,37.57025,126.986364,현장대응단,종로소방서
종로구,37.570259,126.986906,현장대응단,종로소방서
종로구,37.570255,126.987502,현장대응단,종로소방서
종로구,37.570221,126.987925,현장대응단,종로소방서
종로구,37.570357,126.988392,현장대응단,종로소방서
종로구,37.570361,126.989299,현장대응단,종로소방서
종로구,37.570159,126.989337,현장대응단,종로소방서
종로구,37.570142,126.988516,현장대응단,종로소방서
종로구,37.570131,126.987948,현장대응단,종로소방서
종로구,37.570106,126.987519,현장대응단,종로소방서
종로구,37.570106,126.98682,현장대응단,종로소방서
종로구,37.570109,126.986369,현장대응단,종로소방서
종로구,37.570081,126.986184,현장대응단,종로소방서
종로구,37.570122,126.98418,현장대응단,종로소방서
종로구,37.570255,126.985147,현장대응단,종로소방서
종로구,37.57543,126.97933,현장대응단,종로소방서
종로구,37.57543,126.97933,현장대응단,종로소방서
종로구,37.572346,126.98049,현장대응단,종로소방서
종로구,37.570235,126.98092,현장대응단,종로소방서
종로구,37.572001,126.982432,현장대응단,종로소방서
종로구,37.571264,126.981892,현장대응단,종로소방서
종로구,37.570912,126.980845,현장대응단,종로소방서
종로구,37.571322,126.979388,현장대응단,종로소방서
종로구,37.571578,126.980538,현장대응단,종로소방서
종로구,37.572404,126.97929,현장대응단,종로소방서
종로구,37.570254,126.978016,현장대응단,종로소방서
종로구,37.571523,126.979208,현장대응단,종로소방서
종로구,37.572001,126.977292,현장대응단,종로소방서
종로구,37.570566,126.979311,현장대응단,종로소방서
종로구,37.570328,126.97923,현장대응단,종로소방서
종로구,37.58361,126.98137,현장대응단,종로소방서
종로구,37.58371,126.98168,현장대응단,종로소방서
종로구,37.58167,126.98045,현장대응단,종로소방서
종로구,37.58265,126.981,현장대응단,종로소방서
종로구,37.58371588,126.9800561,현장대응단,종로소방서
종로구,37.57162,126.982943,현장대응단,종로소방서
종로구,37.58295952,126.9801172,현장대응단,종로소방서
종로구,37.58167,126.98082,현장대응단,종로소방서
종로구,37.56776473,126.9662974,현장대응단,종로소방서
종로구,37.56922,126.96718,현장대응단,종로소방서
종로구,37.57034,126.96541,현장대응단,종로소방서
종로구,37.56853876,126.9684041,현장대응단,종로소방서
종로구,37.56896,126.96757,현장대응단,종로소방서
종로구,37.56918,126.96783,현장대응단,종로소방서
종로구,37.56862398,126.9671257,현장대응단,종로소방서
종로구,37.56675,126.96712,현장대응단,종로소방서
종로구,37.56817822,126.9645506,현장대응단,종로소방서
종로구,37.56631662,126.9662905,현장대응단,종로소방서
종로구,37.56872,126.96831,현장대응단,종로소방서
종로구,37.56799331,126.9684415,현장대응단,종로소방서
종로구,37.56767133,126.9681275,현장대응단,종로소방서
종로구,37.572109,126.98147,현장대응단,종로소방서
종로구,37.5699418,126.9658696,현장대응단,종로소방서
종로구,37.568498,126.969264,현장대응단,종로소방서
종로구,37.57032631,126.9763313,현장대응단,종로소방서
종로구,37.57057833,126.9748983,현장대응단,종로소방서
종로구,37.57485,126.98256,현장대응단,종로소방서
종로구,37.573129,126.972126,현장대응단,종로소방서
종로구,37.573027,126.972237,현장대응단,종로소방서
종로구,37.574333,126.970167,현장대응단,종로소방서
종로구,37.57148499,126.9739174,현장대응단,종로소방서
종로구,37.57549,126.97998,현장대응단,종로소방서
종로구,37.569641,126.982968,현장대응단,종로소방서
종로구,37.57558,126.970414,현장대응단,종로소방서
종로구,37.58579932,126.9804434,현장대응단,종로소방서
종로구,37.58441,126.98183,현장대응단,종로소방서
종로구,37.58719669,126.9833983,현장대응단,종로소방서
종로구,37.58467786,126.9834295,현장대응단,종로소방서
종로구,37.569174,126.984958,현장대응단,종로소방서
종로구,37.58454,126.98221,현장대응단,종로소방서
종로구,37.58281,126.9819,현장대응단,종로소방서
종로구,37.572096,126.970125,현장대응단,종로소방서
종로구,37.57406,126.97807,현장대응단,종로소방서
종로구,37.57707631,126.9797193,현장대응단,종로소방서
종로구,37.57728,126.98416,현장대응단,종로소방서
종로구,37.57966385,126.9817097,현장대응단,종로소방서
종로구,37.57296,126.98273,현장대응단,종로소방서
종로구,37.58553,126.98213,현장대응단,종로소방서
종로구,37.570998,126.98419,현장대응단,종로소방서
종로구,37.570099,126.985764,현장대응단,종로소방서
종로구,37.56763329,126.9650612,현장대응단,종로소방서
종로구,37.571023,126.988286,현장대응단,종로소방서
종로구,37.58766851,126.9814834,현장대응단,종로소방서
종로구,37.58306,126.98151,현장대응단,종로소방서
종로구,37.5827,126.98148,현장대응단,종로소방서
종로구,37.58183,126.98121,현장대응단,종로소방서
종로구,37.572268,126.983962,현장대응단,종로소방서
종로구,37.570062,126.981219,현장대응단,종로소방서
종로구,37.57023562,126.9726421,현장대응단,종로소방서
종로구,37.568604,126.969766,현장대응단,종로소방서
종로구,37.56694803,126.9675402,현장대응단,종로소방서
종로구,37.56853965,126.9641762,현장대응단,종로소방서
종로구,37.57040164,126.9651507,현장대응단,종로소방서
종로구,37.571037,126.983669,현장대응단,종로소방서
종로구,37.570742,126.979226,현장대응단,종로소방서
종로구,37.57114515,126.974826,현장대응단,종로소방서
종로구,37.57569,126.98277,현장대응단,종로소방서
종로구,37.57433,126.9857,현장대응단,종로소방서
종로구,37.57401,126.97431,현장대응단,종로소방서
종로구,37.570092,126.977686,현장대응단,종로소방서
종로구,37.57825606,126.9798031,현장대응단,종로소방서
종로구,37.570624,126.984061,현장대응단,종로소방서
종로구,37.570727,126.985678,현장대응단,종로소방서
종로구,37.57860304,126.9821752,현장대응단,종로소방서
종로구,37.58928804,126.9801288,현장대응단,종로소방서
종로구,37.572007,126.981914,현장대응단,종로소방서
종로구,37.572255,126.985495,현장대응단,종로소방서
종로구,37.572508,126.986032,현장대응단,종로소방서
종로구,37.56720178,126.9661592,현장대응단,종로소방서
종로구,37.57306,126.97903,현장대응단,종로소방서
종로구,37.572008,126.983081,현장대응단,종로소방서
종로구,37.568332,126.986797,현장대응단,종로소방서
종로구,37.569863,126.9833,현장대응단,종로소방서
종로구,37.574579,126.972359,현장대응단,종로소방서
종로구,37.57256011,126.9765415,현장대응단,종로소방서
종로구,37.57406,126.97805,현장대응단,종로소방서
종로구,37.570219,126.972012,현장대응단,종로소방서
종로구,37.569054,126.9701,현장대응단,종로소방서
종로구,37.571665,126.987489,현장대응단,종로소방서
종로구,37.57624,126.9757,현장대응단,종로소방서
종로구,37.57241,126.980137,현장대응단,종로소방서
종로구,37.566342,126.9669663,현장대응단,종로소방서
종로구,37.5776146,127.015441,숭인119안전센터,종로소방서
종로구,37.57789535,127.0159544,숭인119안전센터,종로소방서
종로구,37.57463143,127.0162503,숭인119안전센터,종로소방서
종로구,37.57419285,127.0170291,숭인119안전센터,종로소방서
종로구,37.57435689,127.0187005,숭인119안전센터,종로소방서
종로구,37.57489577,127.0182888,숭인119안전센터,종로소방서
종로구,37.57657459,127.0156082,숭인119안전센터,종로소방서
종로구,37.57704181,127.0161265,숭인119안전센터,종로소방서
종로구,37.57666265,127.0167465,숭인119안전센터,종로소방서
종로구,37.58179586,127.0155074,숭인119안전센터,종로소방서
종로구,37.57880332,127.0165742,숭인119안전센터,종로소방서
종로구,37.5787308,127.0161705,숭인119안전센터,종로소방서
종로구,37.57995055,127.0154231,숭인119안전센터,종로소방서
종로구,37.57936096,127.0157117,숭인119안전센터,종로소방서
종로구,37.57537763,127.0164781,숭인119안전센터,종로소방서
종로구,37.57546676,127.0169434,숭인119안전센터,종로소방서
종로구,37.57555321,127.018889,숭인119안전센터,종로소방서
종로구,37.5748796,127.0191521,숭인119안전센터,종로소방서
종로구,37.58051079,127.0156539,숭인119안전센터,종로소방서
종로구,37.57913735,127.0169642,숭인119안전센터,종로소방서
종로구,37.57347024,127.0170843,숭인119안전센터,종로소방서
종로구,37.5748243,127.0179653,숭인119안전센터,종로소방서
종로구,37.57570913,127.0157592,숭인119안전센터,종로소방서
종로구,37.57951602,127.0167046,숭인119안전센터,종로소방서
종로구,37.58012434,127.0172236,숭인119안전센터,종로소방서
종로구,37.58052014,127.017011,숭인119안전센터,종로소방서
종로구,37.58101845,127.0168313,숭인119안전센터,종로소방서
종로구,37.58148207,127.0167713,숭인119안전센터,종로소방서
종로구,37.58178864,127.0160316,숭인119안전센터,종로소방서
종로구,37.58183643,127.0152198,숭인119안전센터,종로소방서
종로구,37.57762115,127.0161985,숭인119안전센터,종로소방서
종로구,37.57595692,127.0169066,숭인119안전센터,종로소방서
종로구,37.57453128,127.0163596,숭인119안전센터,종로소방서
종로구,37.5732558,127.0163751,숭인119안전센터,종로소방서
종로구,37.57385303,127.019096,숭인119안전센터,종로소방서
종로구,37.57483876,127.0168869,숭인119안전센터,종로소방서
종로구,37.57399703,127.0177614,숭인119안전센터,종로소방서
종로구,37.5736183,127.0177253,숭인119안전센터,종로소방서
종로구,37.57452403,127.0170411,숭인119안전센터,종로소방서
종로구,37.57434749,127.0178513,숭인119안전센터,종로소방서
종로구,37.57488196,127.0185096,숭인119안전센터,종로소방서
종로구,37.57916107,127.0177895,숭인119안전센터,종로소방서
종로구,37.57495554,127.0171595,숭인119안전센터,종로소방서
종로구,37.57705251,127.0166477,숭인119안전센터,종로소방서
종로구,37.57942574,127.0175754,숭인119안전센터,종로소방서
종로구,37.58060599,127.0168582,숭인119안전센터,종로소방서
종로구,37.57865829,127.0158303,숭인119안전센터,종로소방서
종로구,37.57507015,127.0159943,숭인119안전센터,종로소방서
종로구,37.57630506,127.0164858,숭인119안전센터,종로소방서
종로구,37.57597377,127.0157249,숭인119안전센터,종로소방서
